deprel	lemma	valence	conj	type	subtype
ccomp	semnala	()	că	raport	
ccomp	simți	()	că	simt	
ccomp	socoti	()	că	epist	probabil
ccomp	spera	()	să	deont	vrea
ccomp	spera	()	că	deont	vrea
ccomp	spune	('iobj',)	să	deont	trebui
ccomp	spune	()	că	raport	
ccomp	spune	('iobj',)	că	raport	
ccomp	ști	()	să	deont	fi capabil
ccomp	ști	()	că	raport	
ccomp	termina	()	să	aspect	
ccomp	tinde	()	să	face	
ccomp	ține minte	()	să	face	
ccomp	ține minte	()	că	info	
ccomp	uita	()	să	face	
ccomp	uita	()	că	info	
ccomp	urma	()	să	aspect	
ccomp	vedea	()	că	simt	
ccomp	voi	()	să	deont	vrea
ccomp	vorbi	()	să	deont	intentiona
ccomp	vorbi	()	că	info	
ccomp	vrea	()	să	deont	vrea
ccomp:pmod	acuza	('aux:pass',)	că	epist	posibil
ccomp:pmod	ajuta	()	să	face	
ccomp:pmod	ajuta	('obj',)	să	face	
ccomp:pmod	amenința	('aux:pass',)	că	deont	intentiona
ccomp:pmod	angaja	('expl:pv',)	să	deont	intentiona
ccomp:pmod	anunța	('aux:pass',)	că	info	
ccomp:pmod	asigura	('obj',)	că	raport	
ccomp:pmod	aștepta	('expl:pv',)	să	epist	probabil
ccomp:pmod	autoriza	('aux:pass',)	să	deont	permite
ccomp:pmod	da seama	('expl:pv',)	că	epist	cert
ccomp:pmod	da seama	()	că	epist	cert
ccomp:pmod	dispune	('aux:pass',)	să	deont	vrea
ccomp:pmod	eșua	()	să	deont	intentiona
ccomp:pmod	ezita	()	să	deont	intentiona
ccomp:pmod	gândi	('expl:pv',)	să	deont	intentiona
ccomp:pmod	gândi	('expl:pv',)	că	epist	probabil
ccomp:pmod	hotărî	('expl:pv',)	să	deont	intentiona
ccomp:pmod	hotărî	('expl:pv',)	că	deont	intentiona
ccomp:pmod	împiedica	('obj',)	să	deont	fi capabil
ccomp:pmod	încredința	('obj',)	că	epist	cert
ccomp:pmod	îndoi	('expl:pv',)	că	epist	probabil
ccomp:pmod	informa	('aux:pass',)	că	epist	cert
ccomp:pmod	invita	('obj',)	să	deont	permite
ccomp:pmod	invita	('aux:pass',)	să	deont	vrea
ccomp:pmod	ocupa	('aux:pass',)	să	face	
ccomp:pmod	opri	('obj',)	să	deont	face
ccomp:pmod	pomeni	('expl:pv',)	că	epist	cert
ccomp:pmod	porni	('expl:pv',)	să	aspect	
ccomp:pmod	pregăti	('aux:pass',)	să	deont	intentiona
ccomp:pmod	preveni	('obj',)	să	deont	trebui
ccomp:pmod	preveni	('obj',)	că	info	
ccomp:pmod	proiecta	('aux:pass',)	să	deont	intentiona
ccomp:pmod	pune	('obj',)	să	deont	trebui
ccomp:pmod	renunța	()	să	deont	intentiona
ccomp:pmod	repezi	('expl:pv',)	să	face	
ccomp:pmod	servi	()	să	scop	
ccomp:pmod	teme	('expl:pv',)	să	deont	vrea
ccomp:pmod	teme	('expl:pv',)	că	epist	probabil
xcomp	învăța	('obj',)	să	deont	fi capabil
xcomp	învăța	('obj',)	că	epist	stie
xcomp	anunța	('obj',)	să	deont	trebui
xcomp	anunța	('obj',)	că	epist	stie
xcomp	întreba	('obj',)	că	raport	
