predicate	lemma	valence	conj	ctrl	type	pred1	pred2	pred3
ccomp	ține minte	()	că		info	STIE.subj.P		
ccomp	uita	()	să	Y	face	STIE(-,s).subj.TREBUIE.subj.P	P(-).subj	
ccomp	uita	()	că	Y	info	STIE(-,s).subj.P		
ccomp	urma	()	să	Y	aspect	INCEPE(-).subj.P		
ccomp	vedea	()	că	N	simt	STIE.subj.P	SIMTE.subj.P	
ccomp	voi	()	să		deont	VREA.subj.P		
ccomp	vorbi	()	să		deont	INTENT.subj.P		
ccomp	vorbi	()	că		info	DICE.subj.P		
ccomp	vrea	()	să		deont	VREA.subj.P		
ccomp	explica	('iobj',)	că		raport	DICE.subj.P	STIE.iobj.P	
ccomp	observa	()	că		epist	STIE.subj.P		
csubj	trebui	()	să		deont	TREBUIE.x.P		
ccomp	râvni	()	să		deont	VREA.subj.P		
ccomp	promite	()				DICE.subj.P	INTENT.subj.P	
ccomp	promite	('iobj',)				DICE.subj.P	INTENT.subj.P	STIE.iobj.P
csubj	greu	()				APREC(-).x.P		
